"id","name","approve_year","approve_no","approve_region","suitable_region","culti_type","sub_type","maturity","control_variety","growth_days","compare_days","rice_code"
8564,欣荣优2660,2010,赣审稻2010022,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,120.00,-2.10,ZLDZ-61-中稻
8565,欣荣优2498,2010,赣审稻2010021,江西,江西省稻瘟病轻发地区,7,9,13,金优207,111.90,1.70,ZLDZ-61-中稻
8566,协优洲282,2010,赣审稻2010020,江西,江西省稻瘟病轻发地区,7,9,13,金优207,111.00,-0.70,ZLDZ-61-中稻
8567,协优洲48,2010,赣审稻2010019,江西,江西省稻瘟病轻发地区,7,9,13,金优207,112.40,2.00,ZLDZ-61-中稻
8568,天丰优736,2010,赣审稻2010018,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,119.80,-1.90,ZLDZ-61-中稻
8569,佳优617,2010,赣审稻2010017,江西,江西省稻瘟病轻发地区,7,9,13,金优207,111.20,1.30,ZLDZ-61-中稻
8570,岳优617,2010,赣审稻2010016,江西,江西省稻瘟病轻发地区,7,9,13,金优207,112.70,2.90,ZLDZ-61-中稻
8571,优Ⅰ691,2010,赣审稻2010015,江西,江西省稻瘟病轻发地区,7,9,12,金优207,107.60,-2.80,ZLDZ-61-中稻
8572,中21优691,2010,赣审稻2010014,江西,江西省稻瘟病轻发地区,7,9,12,金优207,107.00,-2.70,ZLDZ-61-中稻
8573,金优165,2010,赣审稻2010013,江西,江西省稻瘟病轻发地区,7,9,13,金优207,111.90,2.20,ZLDZ-61-中稻
8574,金优H4,2010,赣审稻2010012,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,118.90,-3.30,ZLDZ-61-中稻
8575,虔两优4480,2010,赣审稻2010011,江西,江西省稻瘟病轻发地区,7,9,13,金优207,113.40,3.50,ZLDZ-61-中稻
8576,天丰优101,2010,赣审稻2010010,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,120.00,-2.10,ZLDZ-61-中稻
8577,中9优3385,2010,赣审稻2010009,江西,江西省稻瘟病轻发地区,7,9,13,淦鑫688,118.80,-3.00,ZLDZ-61-中稻
8578,"99优468",2010,赣审稻2010008,江西,江西省稻瘟病轻发地区,7,9,13,金优207,112.90,3.20,ZLDZ-61-中稻
8579,荣丰优868,2010,赣审稻2010007,江西,江西省稻瘟病轻发地区,7,9,13,金优207,110.10,-0.30,ZLDZ-61-中稻
8580,两优038,2010,赣审稻2010006,江西,江西省稻瘟病轻发地区,7,9,13,Ⅱ优838,122.60,-1.80,ZLDZ-61-中稻
8581,T优5128,2010,赣审稻2010005,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优838,125.50,1.00,ZLDZ-61-中稻
8582,川香231,2010,赣审稻2010004,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优838,127.50,3.10,ZLDZ-61-中稻
8583,京福4优13,2010,赣审稻2010003,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优838,125.10,0.50,ZLDZ-61-中稻
8584,Y两优5867,2010,赣审稻2010002,江西,江西省稻瘟病轻发地区,7,9,16,Ⅱ优838,129.20,4.90,ZLDZ-61-中稻
8585,准两优916,2010,赣审稻2010001,江西,江西省稻瘟病轻发地区,7,9,13,Ⅱ优838,124.90,0.50,ZLDZ-61-中稻
8586,金优974,2001,赣审稻2001001,江西,适宜江西省赣中、赣北地区种植。,7,9,13,,114.00,,ZLDZ-61-中稻
