"id","province","city","county","data_year","detail","created_at","updated_at"
65,湖南省,湘潭市,韶山市,"2026","{""1"": [""0514"", ""0519""], ""2"": [""0614"", ""0617""], ""3"": [""0706"", ""0710""], ""4"": [""0807"", ""0810""], ""5"": [""0908"", ""0910""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
66,湖南省,永州市,道县,"2026","{""1"": [""0513"", ""0517""], ""2"": [""0621"", ""0625""], ""3"": [""0715"", ""0720""], ""4"": [""0813"", ""0818""], ""5"": [""0816"", ""0822""], ""6"": [""0909"", ""0915""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
67,湖南省,邵阳市,邵东市,"2026","{""1"": [""0518"", ""0522""], ""2"": [""0615"", ""0618""], ""3"": [""0707"", ""0710""], ""4"": [""0804"", ""0807""], ""5"": [""0819"", ""0822""], ""6"": [""0909"", ""0914""], ""7"": [""0922"", ""0925""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
68,湖南省,常德市,津市市,"2026","{""1"": [""0516"", ""0520""], ""2"": [""0611"", ""0617""], ""3"": [""0709"", ""0714""], ""4"": [""0803"", ""0814""], ""5"": [""0821"", ""0831""], ""6"": [""0902"", ""0908""], ""7"": [""0919"", ""0923""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
69,湖南省,怀化市,洪江市,"2026","{""1"": [""0520"", ""0530""], ""2"": [""0611"", ""0616""], ""3"": [""0708"", ""0714""], ""4"": [""0804"", ""0810""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
70,湖南省,郴州市,苏仙区,"2026","{""1"": [""0513"", ""0517""], ""2"": [""0701"", ""0710""], ""3"": [""0809"", ""0816""], ""4"": [""0911"", ""0920""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
71,湖南省,张家界市,慈利县,"2026","{""1"": [""0514"", ""0520""], ""2"": [""0614"", ""0621""], ""3"": [""0716"", ""0722""], ""4"": [""0820"", ""0825""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
72,湖南省,怀化市,芷江县,"2026","{""1"": [""0522"", ""0527""], ""2"": [""0611"", ""0616""], ""3"": [""0708"", ""0713""], ""4"": [""0731"", ""0805""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
73,湖南省,怀化市,中方县,"2026","{""1"": [""0518"", ""0526""], ""2"": [""0611"", ""0617""], ""3"": [""0706"", ""0714""], ""4"": [""0805"", ""0812""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
74,湖南省,怀化市,会同县,"2026","{""1"": [""0517"", ""0523""], ""2"": [""0608"", ""0615""], ""3"": [""0710"", ""0716""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
75,湖南省,湘西土家族苗族自治州,保靖县,"2026","{""1"": [""0611"", ""0622""], ""2"": [""0715"", ""0722""], ""3"": [""0815"", ""0818""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
76,湖南省,湘西土家族苗族自治州,泸溪县,"2026","{""1"": [""0523"", ""0527""], ""2"": [""0714"", ""0719""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
77,湖南省,怀化市,麻阳县,"2026","{""1"": [""0520"", ""0530""], ""2"": [""0611"", ""0616""], ""3"": [""0711"", ""0716""], ""4"": [""0806"", ""0812""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
78,湖南省,益阳市,安化县,"2026","{""1"": [""0519"", ""0525""], ""2"": [""0611"", ""0616""], ""3"": [""0705"", ""0712""], ""4"": [""0729"", ""0806""], ""5"": [""0819"", ""0823""], ""6"": [""0904"", ""0910""], ""7"": [""0921"", ""0930""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
79,湖南省,娄底市,冷水江市,"2026","{""1"": [""0519"", ""0524""], ""2"": [""0617"", ""0622""], ""3"": [""0712"", ""0717""], ""4"": [""0812"", ""0817""], ""5"": [""0910"", ""0916""], ""6"": [""0920"", ""0924""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
80,湖南省,湘西土家族苗族自治州,吉首市,"2026","{""1"": [""0613"", ""0620""], ""2"": [""0715"", ""0721""], ""3"": [""0805"", ""0809""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
81,湖南省,永州市,江华瑶族自治县,"2026","{""1"": [""0615"", ""0617""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
82,湖南省,永州市,蓝山县,"2026","{""1"": [""0430"", ""0507""], ""2"": [""0606"", ""0618""], ""3"": [""0711"", ""0720""], ""4"": [""0806"", ""0815""], ""5"": [""0901"", ""0910""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
83,湖南省,怀化市,鹤城区,"2026","{""1"": [""0525"", ""0530""], ""2"": [""0609"", ""0615""], ""3"": [""0710"", ""0716""], ""4"": [""0731"", ""0809""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
84,湖南省,永州市,宁远县,"2026","{""1"": [""0521"", ""0531""], ""2"": [""0621"", ""0630""], ""3"": [""0711"", ""0716""], ""4"": [""0818"", ""0829""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
85,湖南省,湘西土家族苗族自治州,龙山县,"2026","{""1"": [""0620"", ""0627""], ""2"": [""0718"", ""0725""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
86,湖南省,张家界市,桑植县,"2026","{""1"": [""0621"", ""0628""], ""2"": [""0711"", ""0718""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
87,湖南省,郴州市,北湖区,"2026","{""1"": [""0502"", ""0506""], ""2"": [""0616"", ""0618""], ""3"": [""0710"", ""0714""], ""4"": [""0823"", ""0827""], ""5"": [""0906"", ""0912""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
88,湖南省,岳阳市,岳阳楼区,"2026","{""1"": [""0716"", ""0721""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
89,湖南省,湘西土家族苗族自治州,古丈县,"2026","{""1"": [""0712"", ""0716""], ""2"": [""0815"", ""0820""], ""3"": [""0820"", ""0825""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
90,湖南省,湘西土家族苗族自治州,永顺县,"2026","{""1"": [""0718"", ""0724""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
91,湖南省,娄底市,娄底市,"2026","{""1"": [""0809"", ""0814""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
92,湖南省,湘西土家族苗族自治州,花垣县,"2026","{""1"": [""0721"", ""0731""], ""2"": [""0727"", ""0809""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
93,湖南省,衡阳市,衡东县,"2026","{""1"": [""0508"", ""0515""], ""2"": [""0608"", ""0613""], ""3"": [""0705"", ""0710""], ""4"": [""0905"", ""0911""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
94,湖南省,郴州市,桂东县,"2026","{""1"": [""0618"", ""0624""], ""2"": [""0805"", ""0805""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
95,湖南省,邵阳市,城步县,"2026","{""1"": [""0521"", ""0618""], ""2"": [""0711"", ""0717""], ""3"": [""0811"", ""0820""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
96,湖南省,郴州市,临武县,"2026","{""1"": [""0512"", ""0520""], ""2"": [""0621"", ""0630""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
97,湖南省,郴州市,桂阳县,"2026","{""1"": [""0614"", ""0619""], ""2"": [""0826"", ""0830""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
98,湖南省,邵阳市,绥宁县,"2026","{""1"": [""0515"", ""0525""], ""2"": [""0605"", ""0611""], ""3"": [""0706"", ""0711""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
99,湖南省,怀化市,新晃县,"2026","{""1"": [""0710"", ""0714""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
100,湖南省,岳阳市,临湘市,"2026","{""1"": [""0507"", ""0515""], ""2"": [""0608"", ""0615""], ""3"": [""0710"", ""0720""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
101,湖南省,常德市,汉寿县,"2026","{""1"": [""0510"", ""0516""], ""2"": [""0613"", ""0616""], ""3"": [""0707"", ""0714""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
102,湖南省,株洲市,醴陵市,"2026","{""1"": [""0713"", ""0717""], ""2"": [""0810"", ""0815""], ""3"": [""0912"", ""0917""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
